SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;ISSUEDATE;EVENINGSESSION;MORNINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акции обыкновенные;RU000A0JS5T7;1-02-12500-A;3;1,0;RUB;98000184;0;0;TQBR;Т+: Акции и ДР - безадрес.;;02.10.2012;0;0;0;0;2022-07-08;;;закрытие реестра;24500046000.0;24500046000.0;"Публичное акционерное общество ""Абрау – Дюрсо""";7727620673;10;249,723;249,723;124,862;374,585;62,431;437,015;12,486;486,96;50,0;49401;75,0;247005;95,0;9,11000;14,47000;1
ACKO;АСКО ао;АСКО ПАО ао;Акции обыкновенные;RU000A0JXS91;1-01-52065-Z;3;1,0;RUB;536000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.07.2017;0;0;0;0;2020-07-14;;;закрытие реестра;1918880000.0;1918880000.0;"Публичное акционерное общество ""АСКО""";7453297458;100;3,5772;3,5772;0,0;7,1544;0,0;7,1544;0,0;7,1544;100,0;;;;;21,21000;44,08000;1
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акции обыкновенные;RU000A0DQZE3;1-05-01669-A;1;0,09;RUB;9650000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.12.2007;1;1;0;0;2021-07-15;0.31;0.0103;закрытие реестра;143128800000.0;143128800000.0;"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""";7703104630;100;14,93;14,93;7,465;22,395;6,5692;23,2908;5,5241;24,3359;50,0;5975432;56,0;29877160;63,0;10,69000;8,20000;0
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акции обыкновенные;RU0009062285;1-01-00010-A;1;1,0;RUB;3975771215;0;0;TQBR;Т+: Акции и ДР - безадрес.;;13.02.2004;1;1;0;0;2019-07-05;2.6877;0.0244;закрытие реестра;147580627500.8;147580627500.8;"Публичное акционерное общество ""Аэрофлот – российские авиалинии""";7712040126;10;37,254;37,254;18,627;55,881;16,392;58,116;13,784;60,724;50,0;2375879;56,0;11879395;63,0;7,25000;13,94000;0
AKRN;Акрон;Акрон ПАО ао;Акции обыкновенные;RU0009028674;1-03-00207-A;2;5,0;RUB;36757156;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.10.2006;0;0;0;0;2022-03-09;;;закрытие реестра;698385964000.0;698385964000.0;"Публичное акционерное общество ""Акрон""";5321029508;1;18958,08;18958,08;0,0;37916,16;0,0;37916,16;0,0;37916,16;100,0;;;;;7,74000;8,64000;1
ALRS;АЛРОСА ао;АЛРОСА ПАО ао;Акции обыкновенные;RU0007252813;1-03-40046-N;1;0,5;RUB;7364965630;1;0;TQBR;Т+: Акции и ДР - безадрес.;;29.11.2011;1;1;0;0;2021-10-19;8.79;0.0668;закрытие реестра;477176123167.7001;477176123167.7001;"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)";1433000147;10;64,736;64,736;45,315;84,157;41,431;88,041;36,9;92,572;30,0;4064751;36,0;20323755;43,0;9,38000;6,40000;0
AMEZ;АшинскийМЗ; Ашинский метзавод ПАО ао;Акции обыкновенные;RU000A0B88G6;1-03-45219-D;2;1,0;RUB;498454822;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.08.2008;0;0;0;0;;;;;38136778431.22;38136778431.22;"Публичное акционерное общество ""Ашинский металлургический завод""";7401000473;100;76,4251;76,4251;0,0;152,8502;0,0;152,8502;0,0;152,8502;100,0;;;;;12,41000;39,34000;1
APTK;Аптеки36и6;"ПАО ""Аптечная сеть 36,6"" ао";Акции обыкновенные;RU0008081765;1-01-07335-A;2;0,64;RUB;7630433826;0;0;TQBR;Т+: Акции и ДР - безадрес.;;21.12.2005;0;0;0;0;;;;;94922596795.44;94922596795.44;"Публичное акционерное общество ""Аптечная сеть 36,6""";7722266450;10;12,428;12,428;3,728;21,128;2,486;22,37;0,621;24,235;70,0;733676;80,0;3668380;95,0;4,67000;4,29000;1
AQUA;ИНАРКТИКА;ПАО ИНАРКТИКА;Акции обыкновенные;RU000A0JQTS3;1-01-04461-D;2;100,0;RUB;87876649;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.04.2010;0;0;0;0;2022-12-18;;;закрытие реестра;50045751605.5;50045751605.5;"Публичное  акционерное общество ""ИНАРКТИКА""";7816430057;1;568,868;568,868;381,142;756,594;284,434;853,302;142,217;995,519;33,0;16399;50,0;81995;75,0;11,26000;7,70000;0
ARSA;Арсагера;УК Арсагера ПАО-ао;Акции обыкновенные;RU000A0JP0Q7;1-01-03163-D;3;1,0;RUB;123817165;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.04.2008;0;0;0;0;2021-07-05;;;закрытие реестра;777571796.2;777571796.2;"публичное акционерное общество ""Управляющая компания ""Арсагера""";7840303927;100;6,27303;6,27303;0,0;12,54606;0,0;12,54606;0,0;12,54606;100,0;;;;;7,07000;10,09000;1
